N	F0	m	d_ms	d0	v0	prob	collision
7	4970	1460	394	9	90	0.470	1
5	954	1918	221	8	114	0.330	0
5	4572	834	499	13	74	0.010	1
3	1004	1993	108	18	101	0.480	0
4	2603	1652	95	10	74	0.380	0
5	4775	829	376	12	77	0.470	1
8	4387	1746	335	10	66	0.060	0
6	2274	1956	414	15	115	0.190	0
8	2812	1205	51	18	64	0.380	0
6	3299	1037	414	18	83	0.200	0
6	4936	882	304	14	93	0.350	1
4	420	1358	365	13	72	0.290	0
6	4735	703	349	9	106	0.310	1
7	2458	1942	322	6	107	0.060	1
3	1456	1120	347	18	89	0.350	0
8	1696	1975	67	15	84	0.160	0
7	1983	762	78	18	61	0.170	0
8	3453	1448	156	7	112	0.340	1
8	2253	1396	170	5	67	0.280	0
4	2185	1252	151	16	71	0.240	0
4	4772	1218	283	12	75	0.060	0
5	4644	1622	66	15	61	0.280	0
5	1340	1950	187	17	69	0.060	0
7	3337	1495	76	17	103	0.140	0
8	3831	1854	367	8	76	0.160	1
4	4570	992	354	14	53	0.130	0
3	177	1864	270	5	86	0.160	0
6	1585	1158	236	12	50	0.220	0
6	3225	1375	324	9	72	0.440	1
8	3871	850	377	15	80	0.020	0
6	2360	1453	173	14	63	0.330	0
4	3760	826	402	12	53	0.040	0
6	2025	1055	84	8	93	0.480	0
4	4064	686	88	11	102	0.110	0
8	1735	1908	267	12	95	0.150	0
3	4962	1066	316	14	117	0.450	1
4	2237	923	6	12	85	0.110	0
7	2980	500	331	6	51	0.090	1
5	906	1252	449	12	119	0.310	0
3	2489	1230	105	6	108	0.060	0
7	2737	1950	247	12	96	0.450	0
6	3205	1138	2	5	71	0.250	0
5	3574	857	447	10	79	0.050	1
3	302	1145	213	9	51	0.260	0
3	1690	1583	150	16	112	0.160	0
8	1303	1544	84	8	106	0.450	0
4	2744	1550	293	8	119	0.280	1
5	272	1946	410	16	99	0.050	0
6	2488	1875	427	6	93	0.310	1
4	3144	640	288	6	113	0.320	1
