ArriviDeFerrariAscensore6	ArriviDeFerrariAscensore7	ArriviDaDeFerrari6	ArriviDaDeFerrari7	PersoneSceseDalTreno6vsBrignole	PersoneSceseDalTreno7vsBrignole	IntervalloTreni6vsBrin	OccupazioneTreno6vsBrin	PersoneSaliteABordo6vsBrin	PersoneABordoPreDiscesa6vsBrin	PersoneSceseDalTreno6vsBrin	IntervalloTreni7vsBrin	OccupazioneTreno7vsBrin	PersoneSaliteABordo7vsBrin	PersoneABordoPreDiscesa7vsBrin	PersoneSceseDalTreno7vsBrin	mean_pass_t6	max_pass_t6	mean_pass_t7	max_pass_t7	Out
4.152732	4.791778	454.27258	490.351593	53.436181	39.600828	300	257.527318	44.5	218.5	5.472682	360	145.514824	24	134.5	12.985176	7.696667	39	8.263333	38	1
4.938736	4.756755	467.810976	504.370528	13.860645	32.566807	900	240.337536	120	125	4.662464	420	190.961738	39.5	165	13.538262	2.697222	25	5.445	30	1
3.328392	3.630009	275.789911	428.650753	20.420077	29.65262	480	192.607013	19.5	183	9.892987	900	103.975743	45	60	1.024257	10.118333	51	7.267778	48	1
3.546362	3.118974	395.438315	271.849132	40.11108	9.717084	630	300.455621	16	289	4.544379	900	345.344987	33	322	9.655013	11.358333	58	7.082222	56	1
5.329105	5.097466	517.485497	586.323607	56.858169	69.957074	360	235.029989	32.5	211	8.470011	570	275.499241	44.5	233	2.000759	6.432778	28	5.804444	29	1
6.395219	4.255372	554.679036	436.653658	51.558101	28.025757	630	160.278732	15.5	158	13.221268	300	115.064662	28	99	11.935338	2.607778	19	5.476667	26	1
5.831137	5.856075	649.034211	605.137287	28.61691	39.989369	900	392.777471	62	339	8.222529	360	171.813441	33	146.5	7.686559	0.988889	6	10.032222	37	1
6.280752	2.1846	617.752303	229.193229	35.201393	56.146541	330	85.17545	21.5	71	7.32455	360	118.393661	21.5	107	10.106339	5.441667	23	9.264444	25	1
4.194722	5.432273	500.82151	498.177823	32.197322	42.157707	900	127.088416	70	58	0.911584	480	244.90663	28.5	229.5	13.09337	9.498889	54	15.756111	67	1
5.399161	5.423215	496.552663	551.262427	38.871673	32.71237	480	194.002784	25.5	173.5	4.997216	390	164.942747	29	150	14.057253	7.418889	42	9.149444	47	1
4.645128	4.149368	524.45012	379.583193	27.376665	21.276168	285	135.149066	27	109	1.850934	900	272.044109	24	252	3.955891	8.208333	34	8.162222	33	1
5.161051	6.074975	531.481719	602.204328	21.710744	29.320644	900	65.552607	39	34	7.447393	390	323.835714	41.5	289.5	7.164286	3.5	39	5.616667	40	1
4.417314	1.245786	477.962906	128.816291	61.197317	36.756684	900	134.058797	128	8	1.941203	900	290.575688	59	237	5.424312	6.973333	37	6.486667	39	1
